league,season,team1,team2,winner,game_score
NBA,2009,Atlanta Hawks,Cleveland Cavaliers,Cleveland Cavaliers,0:4
NBA,2009,Atlanta Hawks,Miami Heat,Atlanta Hawks,4:3
NBA,2009,Boston Celtics,Chicago Bulls,Boston Celtics,4:3
NBA,2009,Boston Celtics,Orlando Magic,Orlando Magic,3:4
NBA,2009,Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,4:0
NBA,2009,Cleveland Cavaliers,Orlando Magic,Orlando Magic,2:4
NBA,2009,Dallas Mavericks,Denver Nuggets,Denver Nuggets,1:4
NBA,2009,Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,4:1
NBA,2009,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,2:4
NBA,2009,Denver Nuggets,New Orleans Hornets,Denver Nuggets,4:1
NBA,2009,Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,3:4
NBA,2009,Houston Rockets,Portland Trail Blazers,Houston Rockets,4:2
NBA,2009,Los Angeles Lakers,Orlando Magic,Los Angeles Lakers,4:1
NBA,2009,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,4:1
NBA,2009,Orlando Magic,Philadelphia 76ers,Orlando Magic,4:2
NBA,2010,Atlanta Hawks,Milwaukee Bucks,Atlanta Hawks,4:3
NBA,2010,Atlanta Hawks,Orlando Magic,Orlando Magic,0:4
NBA,2010,Boston Celtics,Cleveland Cavaliers,Boston Celtics,4:2
NBA,2010,Boston Celtics,Los Angeles Lakers,Los Angeles Lakers,3:4
NBA,2010,Boston Celtics,Miami Heat,Boston Celtics,4:1
NBA,2010,Boston Celtics,Orlando Magic,Boston Celtics,4:2
NBA,2010,Charlotte Bobcats,Orlando Magic,Orlando Magic,0:4
NBA,2010,Chicago Bulls,Cleveland Cavaliers,Cleveland Cavaliers,1:4
NBA,2010,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2010,Denver Nuggets,Utah Jazz,Utah Jazz,2:4
NBA,2010,Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,4:2
NBA,2010,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,4:2
NBA,2010,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,4:0
NBA,2010,Phoenix Suns,Portland Trail Blazers,Phoenix Suns,4:2
NBA,2010,Phoenix Suns,San Antonio Spurs,Phoenix Suns,4:0
NBA,2011,Atlanta Hawks,Chicago Bulls,Chicago Bulls,2:4
NBA,2011,Atlanta Hawks,Orlando Magic,Atlanta Hawks,4:2
NBA,2011,Boston Celtics,Miami Heat,Miami Heat,1:4
NBA,2011,Boston Celtics,New York Knicks,Boston Celtics,4:0
NBA,2011,Chicago Bulls,Indiana Pacers,Chicago Bulls,4:1
NBA,2011,Chicago Bulls,Miami Heat,Miami Heat,1:4
NBA,2011,Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,4:0
NBA,2011,Dallas Mavericks,Miami Heat,Dallas Mavericks,4:2
NBA,2011,Dallas Mavericks,Oklahoma City Thunder,Dallas Mavericks,4:1
NBA,2011,Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,4:2
NBA,2011,Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder,1:4
NBA,2011,Los Angeles Lakers,New Orleans Hornets,Los Angeles Lakers,4:2
NBA,2011,Memphis Grizzlies,Oklahoma City Thunder,Oklahoma City Thunder,3:4
NBA,2011,Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,4:2
NBA,2011,Miami Heat,Philadelphia 76ers,Miami Heat,4:1
NBA,2012,Atlanta Hawks,Boston Celtics,Boston Celtics,2:4
NBA,2012,Boston Celtics,Miami Heat,Miami Heat,3:4
NBA,2012,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:3
NBA,2012,Chicago Bulls,Philadelphia 76ers,Philadelphia 76ers,2:4
NBA,2012,Dallas Mavericks,Oklahoma City Thunder,Oklahoma City Thunder,0:4
NBA,2012,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,3:4
NBA,2012,Indiana Pacers,Miami Heat,Miami Heat,2:4
NBA,2012,Indiana Pacers,Orlando Magic,Indiana Pacers,4:1
NBA,2012,Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,4:3
NBA,2012,Los Angeles Clippers,San Antonio Spurs,San Antonio Spurs,0:4
NBA,2012,Los Angeles Lakers,Oklahoma City Thunder,Oklahoma City Thunder,1:4
NBA,2012,Miami Heat,New York Knicks,Miami Heat,4:1
NBA,2012,Miami Heat,Oklahoma City Thunder,Miami Heat,4:1
NBA,2012,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,4:2
NBA,2012,San Antonio Spurs,Utah Jazz,San Antonio Spurs,4:0
NBA,2013,Atlanta Hawks,Indiana Pacers,Indiana Pacers,2:4
NBA,2013,Boston Celtics,New York Knicks,New York Knicks,2:4
NBA,2013,Brooklyn Nets,Chicago Bulls,Chicago Bulls,3:4
NBA,2013,Chicago Bulls,Miami Heat,Miami Heat,1:4
NBA,2013,Denver Nuggets,Golden State Warriors,Golden State Warriors,2:4
NBA,2013,Golden State Warriors,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2013,Houston Rockets,Oklahoma City Thunder,Oklahoma City Thunder,2:4
NBA,2013,Indiana Pacers,Miami Heat,Miami Heat,3:4
NBA,2013,Indiana Pacers,New York Knicks,Indiana Pacers,4:2
NBA,2013,Los Angeles Clippers,Memphis Grizzlies,Memphis Grizzlies,2:4
NBA,2013,Los Angeles Lakers,San Antonio Spurs,San Antonio Spurs,0:4
NBA,2013,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,4:1
NBA,2013,Memphis Grizzlies,San Antonio Spurs,San Antonio Spurs,0:4
NBA,2013,Miami Heat,Milwaukee Bucks,Miami Heat,4:0
NBA,2013,Miami Heat,San Antonio Spurs,Miami Heat,4:3
NBA,2014,Atlanta Hawks,Indiana Pacers,Indiana Pacers,3:4
NBA,2014,Brooklyn Nets,Miami Heat,Miami Heat,1:4
NBA,2014,Brooklyn Nets,Toronto Raptors,Brooklyn Nets,4:3
NBA,2014,Charlotte Bobcats,Miami Heat,Miami Heat,0:4
NBA,2014,Chicago Bulls,Washington Wizards,Washington Wizards,1:4
NBA,2014,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,3:4
NBA,2014,Golden State Warriors,Los Angeles Clippers,Los Angeles Clippers,3:4
NBA,2014,Houston Rockets,Portland Trail Blazers,Portland Trail Blazers,2:4
NBA,2014,Indiana Pacers,Miami Heat,Miami Heat,2:4
NBA,2014,Indiana Pacers,Washington Wizards,Indiana Pacers,4:2
NBA,2014,Los Angeles Clippers,Oklahoma City Thunder,Oklahoma City Thunder,2:4
NBA,2014,Memphis Grizzlies,Oklahoma City Thunder,Oklahoma City Thunder,3:4
NBA,2014,Miami Heat,San Antonio Spurs,San Antonio Spurs,1:4
NBA,2014,Oklahoma City Thunder,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2014,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,1:4
NBA,2015,Atlanta Hawks,Brooklyn Nets,Atlanta Hawks,4:2
NBA,2015,Atlanta Hawks,Cleveland Cavaliers,Cleveland Cavaliers,0:4
NBA,2015,Atlanta Hawks,Washington Wizards,Atlanta Hawks,4:2
NBA,2015,Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers,0:4
NBA,2015,Chicago Bulls,Cleveland Cavaliers,Cleveland Cavaliers,2:4
NBA,2015,Chicago Bulls,Milwaukee Bucks,Chicago Bulls,4:2
NBA,2015,Cleveland Cavaliers,Golden State Warriors,Golden State Warriors,2:4
NBA,2015,Dallas Mavericks,Houston Rockets,Houston Rockets,1:4
NBA,2015,Golden State Warriors,Houston Rockets,Golden State Warriors,4:1
NBA,2015,Golden State Warriors,Memphis Grizzlies,Golden State Warriors,4:2
NBA,2015,Golden State Warriors,New Orleans Pelicans,Golden State Warriors,4:0
NBA,2015,Houston Rockets,Los Angeles Clippers,Houston Rockets,4:3
NBA,2015,Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,4:3
NBA,2015,Memphis Grizzlies,Portland Trail Blazers,Memphis Grizzlies,4:1
NBA,2015,Toronto Raptors,Washington Wizards,Washington Wizards,0:4
NBA,2016,Atlanta Hawks,Boston Celtics,Atlanta Hawks,4:2
NBA,2016,Atlanta Hawks,Cleveland Cavaliers,Cleveland Cavaliers,0:4
NBA,2016,Charlotte Hornets,Miami Heat,Miami Heat,3:4
NBA,2016,Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,4:0
NBA,2016,Cleveland Cavaliers,Golden State Warriors,Cleveland Cavaliers,4:3
NBA,2016,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,4:2
NBA,2016,Dallas Mavericks,Oklahoma City Thunder,Oklahoma City Thunder,1:4
NBA,2016,Golden State Warriors,Houston Rockets,Golden State Warriors,4:1
NBA,2016,Golden State Warriors,Oklahoma City Thunder,Golden State Warriors,4:3
NBA,2016,Golden State Warriors,Portland Trail Blazers,Golden State Warriors,4:1
NBA,2016,Indiana Pacers,Toronto Raptors,Toronto Raptors,3:4
NBA,2016,Los Angeles Clippers,Portland Trail Blazers,Portland Trail Blazers,2:4
NBA,2016,Memphis Grizzlies,San Antonio Spurs,San Antonio Spurs,0:4
NBA,2016,Miami Heat,Toronto Raptors,Toronto Raptors,3:4
NBA,2016,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,4:2
NBA,2017,Atlanta Hawks,Washington Wizards,Washington Wizards,2:4
NBA,2017,Boston Celtics,Chicago Bulls,Boston Celtics,4:2
NBA,2017,Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers,1:4
NBA,2017,Boston Celtics,Washington Wizards,Boston Celtics,4:3
NBA,2017,Cleveland Cavaliers,Golden State Warriors,Golden State Warriors,1:4
NBA,2017,Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers,4:0
NBA,2017,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,4:0
NBA,2017,Golden State Warriors,Portland Trail Blazers,Golden State Warriors,4:0
NBA,2017,Golden State Warriors,San Antonio Spurs,Golden State Warriors,4:0
NBA,2017,Golden State Warriors,Utah Jazz,Golden State Warriors,4:0
NBA,2017,Houston Rockets,Oklahoma City Thunder,Houston Rockets,4:1
NBA,2017,Houston Rockets,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2017,Los Angeles Clippers,Utah Jazz,Utah Jazz,3:4
NBA,2017,Memphis Grizzlies,San Antonio Spurs,San Antonio Spurs,2:4
NBA,2017,Milwaukee Bucks,Toronto Raptors,Toronto Raptors,2:4
NBA,2018,Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers,3:4
NBA,2018,Boston Celtics,Milwaukee Bucks,Boston Celtics,4:3
NBA,2018,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:1
NBA,2018,Cleveland Cavaliers,Golden State Warriors,Golden State Warriors,0:4
NBA,2018,Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers,4:3
NBA,2018,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,4:0
NBA,2018,Golden State Warriors,Houston Rockets,Golden State Warriors,4:3
NBA,2018,Golden State Warriors,New Orleans Pelicans,Golden State Warriors,4:1
NBA,2018,Golden State Warriors,San Antonio Spurs,Golden State Warriors,4:1
NBA,2018,Houston Rockets,Minnesota Timberwolves,Houston Rockets,4:1
NBA,2018,Houston Rockets,Utah Jazz,Houston Rockets,4:1
NBA,2018,Miami Heat,Philadelphia 76ers,Philadelphia 76ers,1:4
NBA,2018,New Orleans Pelicans,Portland Trail Blazers,New Orleans Pelicans,4:0
NBA,2018,Oklahoma City Thunder,Utah Jazz,Utah Jazz,2:4
NBA,2018,Toronto Raptors,Washington Wizards,Toronto Raptors,4:2
NBA,2019,Boston Celtics,Indiana Pacers,Boston Celtics,4:0
NBA,2019,Boston Celtics,Milwaukee Bucks,Milwaukee Bucks,1:4
NBA,2019,Brooklyn Nets,Philadelphia 76ers,Philadelphia 76ers,1:4
NBA,2019,Denver Nuggets,Portland Trail Blazers,Portland Trail Blazers,3:4
NBA,2019,Denver Nuggets,San Antonio Spurs,Denver Nuggets,4:3
NBA,2019,Detroit Pistons,Milwaukee Bucks,Milwaukee Bucks,0:4
NBA,2019,Golden State Warriors,Houston Rockets,Golden State Warriors,4:2
NBA,2019,Golden State Warriors,Los Angeles Clippers,Golden State Warriors,4:2
NBA,2019,Golden State Warriors,Portland Trail Blazers,Golden State Warriors,4:0
NBA,2019,Golden State Warriors,Toronto Raptors,Toronto Raptors,2:4
NBA,2019,Houston Rockets,Utah Jazz,Houston Rockets,4:1
NBA,2019,Milwaukee Bucks,Toronto Raptors,Toronto Raptors,2:4
NBA,2019,Oklahoma City Thunder,Portland Trail Blazers,Portland Trail Blazers,1:4
NBA,2019,Orlando Magic,Toronto Raptors,Toronto Raptors,1:4
NBA,2019,Philadelphia 76ers,Toronto Raptors,Toronto Raptors,3:4
NBA,2020,Boston Celtics,Miami Heat,Miami Heat,2:4
NBA,2020,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:0
NBA,2020,Boston Celtics,Toronto Raptors,Boston Celtics,4:3
NBA,2020,Brooklyn Nets,Toronto Raptors,Toronto Raptors,0:4
NBA,2020,Dallas Mavericks,Los Angeles Clippers,Los Angeles Clippers,2:4
NBA,2020,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,4:3
NBA,2020,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,2020,Denver Nuggets,Utah Jazz,Denver Nuggets,4:3
NBA,2020,Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,2020,Houston Rockets,Oklahoma City Thunder,Houston Rockets,4:3
NBA,2020,Indiana Pacers,Miami Heat,Miami Heat,0:4
NBA,2020,Los Angeles Lakers,Miami Heat,Los Angeles Lakers,4:2
NBA,2020,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,4:1
NBA,2020,Miami Heat,Milwaukee Bucks,Miami Heat,4:1
NBA,2020,Milwaukee Bucks,Orlando Magic,Milwaukee Bucks,4:1
NBA,2021,Atlanta Hawks,Milwaukee Bucks,Milwaukee Bucks,2:4
NBA,2021,Atlanta Hawks,New York Knicks,Atlanta Hawks,4:1
NBA,2021,Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,4:3
NBA,2021,Boston Celtics,Brooklyn Nets,Brooklyn Nets,1:4
NBA,2021,Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,3:4
NBA,2021,Dallas Mavericks,Los Angeles Clippers,Los Angeles Clippers,3:4
NBA,2021,Denver Nuggets,Phoenix Suns,Phoenix Suns,0:4
NBA,2021,Denver Nuggets,Portland Trail Blazers,Denver Nuggets,4:2
NBA,2021,Los Angeles Clippers,Phoenix Suns,Phoenix Suns,2:4
NBA,2021,Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,4:2
NBA,2021,Los Angeles Lakers,Phoenix Suns,Phoenix Suns,2:4
NBA,2021,Memphis Grizzlies,Utah Jazz,Utah Jazz,1:4
NBA,2021,Miami Heat,Milwaukee Bucks,Milwaukee Bucks,0:4
NBA,2021,Milwaukee Bucks,Phoenix Suns,Milwaukee Bucks,4:2
NBA,2021,Philadelphia 76ers,Washington Wizards,Philadelphia 76ers,4:1
NBA,2022,Atlanta Hawks,Miami Heat,Miami Heat,1:4
NBA,2022,Boston Celtics,Brooklyn Nets,Boston Celtics,4:0
NBA,2022,Boston Celtics,Golden State Warriors,Golden State Warriors,2:4
NBA,2022,Boston Celtics,Miami Heat,Boston Celtics,4:3
NBA,2022,Boston Celtics,Milwaukee Bucks,Boston Celtics,4:3
NBA,2022,Chicago Bulls,Milwaukee Bucks,Milwaukee Bucks,1:4
NBA,2022,Dallas Mavericks,Golden State Warriors,Golden State Warriors,1:4
NBA,2022,Dallas Mavericks,Phoenix Suns,Dallas Mavericks,4:3
NBA,2022,Dallas Mavericks,Utah Jazz,Dallas Mavericks,4:2
NBA,2022,Denver Nuggets,Golden State Warriors,Golden State Warriors,1:4
NBA,2022,Golden State Warriors,Memphis Grizzlies,Golden State Warriors,4:2
NBA,2022,Memphis Grizzlies,Minnesota Timberwolves,Memphis Grizzlies,4:2
NBA,2022,Miami Heat,Philadelphia 76ers,Miami Heat,4:2
NBA,2022,New Orleans Pelicans,Phoenix Suns,Phoenix Suns,2:4
NBA,2022,Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,4:2
NBA,2023,Atlanta Hawks,Boston Celtics,Boston Celtics,2:4
NBA,2023,Boston Celtics,Miami Heat,Miami Heat,3:4
NBA,2023,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:3
NBA,2023,Brooklyn Nets,Philadelphia 76ers,Philadelphia 76ers,0:4
NBA,2023,Cleveland Cavaliers,New York Knicks,New York Knicks,1:4
NBA,2023,Denver Nuggets,Los Angeles Lakers,Denver Nuggets,4:0
NBA,2023,Denver Nuggets,Miami Heat,Denver Nuggets,4:1
NBA,2023,Denver Nuggets,Minnesota Timberwolves,Denver Nuggets,4:1
NBA,2023,Denver Nuggets,Phoenix Suns,Denver Nuggets,4:2
NBA,2023,Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,2:4
NBA,2023,Golden State Warriors,Sacramento Kings,Golden State Warriors,4:3
NBA,2023,Los Angeles Clippers,Phoenix Suns,Phoenix Suns,1:4
NBA,2023,Los Angeles Lakers,Memphis Grizzlies,Los Angeles Lakers,4:2
NBA,2023,Miami Heat,Milwaukee Bucks,Miami Heat,4:1
NBA,2023,Miami Heat,New York Knicks,Miami Heat,4:2
NBA,2024,Boston Celtics,Cleveland Cavaliers,Boston Celtics,4:1
NBA,2024,Boston Celtics,Dallas Mavericks,Boston Celtics,4:1
NBA,2024,Boston Celtics,Indiana Pacers,Boston Celtics,4:0
NBA,2024,Boston Celtics,Miami Heat,Boston Celtics,4:1
NBA,2024,Cleveland Cavaliers,Orlando Magic,Cleveland Cavaliers,4:3
NBA,2024,Dallas Mavericks,Los Angeles Clippers,Dallas Mavericks,4:2
NBA,2024,Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,4:1
NBA,2024,Dallas Mavericks,Oklahoma City Thunder,Dallas Mavericks,4:2
NBA,2024,Denver Nuggets,Los Angeles Lakers,Denver Nuggets,4:1
NBA,2024,Denver Nuggets,Minnesota Timberwolves,Minnesota Timberwolves,3:4
NBA,2024,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,4:2
NBA,2024,Indiana Pacers,New York Knicks,Indiana Pacers,4:3
NBA,2024,Minnesota Timberwolves,Phoenix Suns,Minnesota Timberwolves,4:0
NBA,2024,New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder,0:4
NBA,2024,New York Knicks,Philadelphia 76ers,New York Knicks,4:2
NBA,2025,Boston Celtics,New York Knicks,New York Knicks,2:3
NBA,2025,Boston Celtics,Orlando Magic,Boston Celtics,4:1
NBA,2025,Cleveland Cavaliers,Indiana Pacers,Indiana Pacers,1:4
NBA,2025,Cleveland Cavaliers,Miami Heat,Cleveland Cavaliers,4:0
NBA,2025,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,4:3
NBA,2025,Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder,2:3
NBA,2025,Detroit Pistons,New York Knicks,New York Knicks,2:4
NBA,2025,Golden State Warriors,Houston Rockets,Golden State Warriors,4:3
NBA,2025,Golden State Warriors,Minnesota Timberwolves,Minnesota Timberwolves,1:4
NBA,2025,Indiana Pacers,Milwaukee Bucks,Indiana Pacers,4:1
NBA,2025,Los Angeles Lakers,Minnesota Timberwolves,Minnesota Timberwolves,1:4
NBA,2025,Memphis Grizzlies,Oklahoma City Thunder,Oklahoma City Thunder,0:4
