league,season,team1,team2,winner,game_score
NBA,1971,Atlanta Hawks,New York Knicks,New York Knicks,1:4
NBA,1971,Baltimore Bullets,Milwaukee Bucks,Milwaukee Bucks,0:4
NBA,1971,Baltimore Bullets,New York Knicks,Baltimore Bullets,4:3
NBA,1971,Baltimore Bullets,Philadelphia 76ers,Baltimore Bullets,4:3
NBA,1971,Chicago Bulls,Los Angeles Lakers,Los Angeles Lakers,3:4
NBA,1971,Los Angeles Lakers,Milwaukee Bucks,Milwaukee Bucks,1:4
NBA,1971,Milwaukee Bucks,San Francisco Warriors,Milwaukee Bucks,4:1
NBA,1972,Atlanta Hawks,Boston Celtics,Boston Celtics,2:4
NBA,1972,Baltimore Bullets,New York Knicks,New York Knicks,2:4
NBA,1972,Boston Celtics,New York Knicks,New York Knicks,1:4
NBA,1972,Chicago Bulls,Los Angeles Lakers,Los Angeles Lakers,0:4
NBA,1972,Golden State Warriors,Milwaukee Bucks,Milwaukee Bucks,1:4
NBA,1972,Los Angeles Lakers,Milwaukee Bucks,Los Angeles Lakers,4:2
NBA,1972,Los Angeles Lakers,New York Knicks,Los Angeles Lakers,4:1
NBA,1973,Atlanta Hawks,Boston Celtics,Boston Celtics,2:4
NBA,1973,Baltimore Bullets,New York Knicks,New York Knicks,1:4
NBA,1973,Boston Celtics,New York Knicks,New York Knicks,3:4
NBA,1973,Chicago Bulls,Los Angeles Lakers,Los Angeles Lakers,3:4
NBA,1973,Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,1:4
NBA,1973,Golden State Warriors,Milwaukee Bucks,Golden State Warriors,4:2
NBA,1973,Los Angeles Lakers,New York Knicks,New York Knicks,1:4
NBA,1974,Boston Celtics,Buffalo Braves,Boston Celtics,4:2
NBA,1974,Boston Celtics,Milwaukee Bucks,Boston Celtics,4:3
NBA,1974,Boston Celtics,New York Knicks,Boston Celtics,4:1
NBA,1974,Capital Bullets,New York Knicks,New York Knicks,3:4
NBA,1974,Chicago Bulls,Detroit Pistons,Chicago Bulls,4:3
NBA,1974,Chicago Bulls,Milwaukee Bucks,Milwaukee Bucks,0:4
NBA,1974,Los Angeles Lakers,Milwaukee Bucks,Milwaukee Bucks,1:4
NBA,1975,Boston Celtics,Houston Rockets,Boston Celtics,4:1
NBA,1975,Boston Celtics,Washington Bullets,Washington Bullets,2:4
NBA,1975,Buffalo Braves,Washington Bullets,Washington Bullets,3:4
NBA,1975,Chicago Bulls,Golden State Warriors,Golden State Warriors,3:4
NBA,1975,Chicago Bulls,Kansas City-Omaha Kings,Chicago Bulls,4:2
NBA,1975,Detroit Pistons,Seattle SuperSonics,Seattle SuperSonics,1:2
NBA,1975,Golden State Warriors,Seattle SuperSonics,Golden State Warriors,4:2
NBA,1975,Golden State Warriors,Washington Bullets,Golden State Warriors,4:0
NBA,1975,Houston Rockets,New York Knicks,Houston Rockets,2:1
NBA,1976,Boston Celtics,Buffalo Braves,Boston Celtics,4:2
NBA,1976,Boston Celtics,Cleveland Cavaliers,Boston Celtics,4:2
NBA,1976,Boston Celtics,Phoenix Suns,Boston Celtics,4:2
NBA,1976,Buffalo Braves,Philadelphia 76ers,Buffalo Braves,2:1
NBA,1976,Cleveland Cavaliers,Washington Bullets,Cleveland Cavaliers,4:3
NBA,1976,Detroit Pistons,Golden State Warriors,Golden State Warriors,2:4
NBA,1976,Detroit Pistons,Milwaukee Bucks,Detroit Pistons,2:1
NBA,1976,Golden State Warriors,Phoenix Suns,Phoenix Suns,3:4
NBA,1976,Phoenix Suns,Seattle SuperSonics,Phoenix Suns,4:2
NBA,1977,Boston Celtics,Philadelphia 76ers,Philadelphia 76ers,3:4
NBA,1977,Boston Celtics,San Antonio Spurs,Boston Celtics,2:0
NBA,1977,Chicago Bulls,Portland Trail Blazers,Portland Trail Blazers,1:2
NBA,1977,Cleveland Cavaliers,Washington Bullets,Washington Bullets,1:2
NBA,1977,Denver Nuggets,Portland Trail Blazers,Portland Trail Blazers,2:4
NBA,1977,Detroit Pistons,Golden State Warriors,Golden State Warriors,1:2
NBA,1977,Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,3:4
NBA,1977,Houston Rockets,Philadelphia 76ers,Philadelphia 76ers,2:4
NBA,1977,Houston Rockets,Washington Bullets,Houston Rockets,4:2
NBA,1977,Los Angeles Lakers,Portland Trail Blazers,Portland Trail Blazers,0:4
NBA,1977,Philadelphia 76ers,Portland Trail Blazers,Portland Trail Blazers,2:4
NBA,1978,Atlanta Hawks,Washington Bullets,Washington Bullets,0:2
NBA,1978,Cleveland Cavaliers,New York Knicks,New York Knicks,0:2
NBA,1978,Denver Nuggets,Milwaukee Bucks,Denver Nuggets,4:3
NBA,1978,Denver Nuggets,Seattle SuperSonics,Seattle SuperSonics,2:4
NBA,1978,Los Angeles Lakers,Seattle SuperSonics,Seattle SuperSonics,1:2
NBA,1978,Milwaukee Bucks,Phoenix Suns,Milwaukee Bucks,2:0
NBA,1978,New York Knicks,Philadelphia 76ers,Philadelphia 76ers,0:4
NBA,1978,Philadelphia 76ers,Washington Bullets,Washington Bullets,2:4
NBA,1978,Portland Trail Blazers,Seattle SuperSonics,Seattle SuperSonics,2:4
NBA,1978,San Antonio Spurs,Washington Bullets,Washington Bullets,2:4
NBA,1978,Seattle SuperSonics,Washington Bullets,Washington Bullets,3:4
NBA,1979,Atlanta Hawks,Houston Rockets,Atlanta Hawks,2:0
NBA,1979,Atlanta Hawks,Washington Bullets,Washington Bullets,3:4
NBA,1979,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,1:2
NBA,1979,Kansas City Kings,Phoenix Suns,Phoenix Suns,1:4
NBA,1979,Los Angeles Lakers,Seattle SuperSonics,Seattle SuperSonics,1:4
NBA,1979,New Jersey Nets,Philadelphia 76ers,Philadelphia 76ers,0:2
NBA,1979,Philadelphia 76ers,San Antonio Spurs,San Antonio Spurs,3:4
NBA,1979,Phoenix Suns,Portland Trail Blazers,Phoenix Suns,2:1
NBA,1979,Phoenix Suns,Seattle SuperSonics,Seattle SuperSonics,3:4
NBA,1979,San Antonio Spurs,Washington Bullets,Washington Bullets,3:4
NBA,1979,Seattle SuperSonics,Washington Bullets,Seattle SuperSonics,4:1
NBA,1980,Atlanta Hawks,Philadelphia 76ers,Philadelphia 76ers,1:4
NBA,1980,Boston Celtics,Houston Rockets,Boston Celtics,4:0
NBA,1980,Boston Celtics,Philadelphia 76ers,Philadelphia 76ers,1:4
NBA,1980,Houston Rockets,San Antonio Spurs,Houston Rockets,2:1
NBA,1980,Kansas City Kings,Phoenix Suns,Phoenix Suns,1:2
NBA,1980,Los Angeles Lakers,Philadelphia 76ers,Los Angeles Lakers,4:2
NBA,1980,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,4:1
NBA,1980,Los Angeles Lakers,Seattle SuperSonics,Los Angeles Lakers,4:1
NBA,1980,Milwaukee Bucks,Seattle SuperSonics,Seattle SuperSonics,3:4
NBA,1980,Philadelphia 76ers,Washington Bullets,Philadelphia 76ers,2:0
NBA,1980,Portland Trail Blazers,Seattle SuperSonics,Seattle SuperSonics,1:2
NBA,1981,Boston Celtics,Chicago Bulls,Boston Celtics,4:0
NBA,1981,Boston Celtics,Houston Rockets,Boston Celtics,4:2
NBA,1981,Boston Celtics,Philadelphia 76ers,Boston Celtics,4:3
NBA,1981,Chicago Bulls,New York Knicks,Chicago Bulls,2:0
NBA,1981,Houston Rockets,Kansas City Kings,Houston Rockets,4:1
NBA,1981,Houston Rockets,Los Angeles Lakers,Houston Rockets,2:1
NBA,1981,Houston Rockets,San Antonio Spurs,Houston Rockets,4:3
NBA,1981,Indiana Pacers,Philadelphia 76ers,Philadelphia 76ers,0:2
NBA,1981,Kansas City Kings,Phoenix Suns,Kansas City Kings,4:3
NBA,1981,Kansas City Kings,Portland Trail Blazers,Kansas City Kings,2:1
NBA,1981,Milwaukee Bucks,Philadelphia 76ers,Philadelphia 76ers,3:4
NBA,1982,Atlanta Hawks,Philadelphia 76ers,Philadelphia 76ers,0:2
NBA,1982,Boston Celtics,Philadelphia 76ers,Philadelphia 76ers,3:4
NBA,1982,Boston Celtics,Washington Bullets,Boston Celtics,4:1
NBA,1982,Denver Nuggets,Phoenix Suns,Phoenix Suns,1:2
NBA,1982,Houston Rockets,Seattle SuperSonics,Seattle SuperSonics,1:2
NBA,1982,Los Angeles Lakers,Philadelphia 76ers,Los Angeles Lakers,4:2
NBA,1982,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,4:0
NBA,1982,Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,4:0
NBA,1982,Milwaukee Bucks,Philadelphia 76ers,Philadelphia 76ers,2:4
NBA,1982,New Jersey Nets,Washington Bullets,Washington Bullets,0:2
NBA,1982,San Antonio Spurs,Seattle SuperSonics,San Antonio Spurs,4:1
NBA,1983,Atlanta Hawks,Boston Celtics,Boston Celtics,1:2
NBA,1983,Boston Celtics,Milwaukee Bucks,Milwaukee Bucks,0:4
NBA,1983,Denver Nuggets,Phoenix Suns,Denver Nuggets,2:1
NBA,1983,Denver Nuggets,San Antonio Spurs,San Antonio Spurs,1:4
NBA,1983,Los Angeles Lakers,Philadelphia 76ers,Philadelphia 76ers,0:4
NBA,1983,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,4:1
NBA,1983,Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,4:2
NBA,1983,Milwaukee Bucks,Philadelphia 76ers,Philadelphia 76ers,1:4
NBA,1983,New Jersey Nets,New York Knicks,New York Knicks,0:2
NBA,1983,New York Knicks,Philadelphia 76ers,Philadelphia 76ers,0:4
